URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,41,5,0.7826086786389418,0.06686046501909816,51.5,0.3106796116504854,20.724271844660194,51.5,224,721,1.9778085991678225,9,5.35506241331484
https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,40,15,0.4545454462809919,0.05635245895865527,22.127659574468087,0.24615384615384617,8.949525368248773,22.127659574468087,256,1040,1.7298076923076924,10,4.694230769230769
https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,81,24,0.5428571376870749,0.05976095614128574,26.013513513513512,0.31012987012987014,10.529457353457353,26.013513513513512,597,1925,1.9937662337662339,13,5.265454545454546
https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,61,21,0.4878048720999406,0.04565701556477894,39.16,0.32839632277834524,15.795358529111338,39.16,643,1958,1.9749744637385087,21,5.341164453524004
https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,83,31,0.4561403468759619,0.06192286797288274,33.45,0.29048330842052816,13.496193323368212,33.45,583,2007,1.9028400597907325,17,5.176382660687594
https://insights.blackcoffer.com/the-future-of-telehealth-services/,69,38,0.2897196234605643,0.058533916816994574,31.3125,0.3148702594810379,12.650948103792416,31.3125,631,2004,2.0059880239520957,13,5.226047904191617
https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,37,18,0.34545453917355384,0.04489795914702207,79.0,0.24841772151898733,31.699367088607598,79.0,314,1264,1.8212025316455696,5,4.894778481012659
https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,35,3,0.8421052409972306,0.04761904755937463,37.82608695652174,0.2482758620689655,15.229745127436283,37.82608695652174,216,870,1.757471264367816,6,4.795402298850575
https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,54,9,0.714285702947846,0.04783599085206075,33.18604651162791,0.2880168185003504,13.389625332051304,33.18604651162791,411,1427,1.869656622284513,20,5.148563419761738
https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,50,27,0.2987012948220611,0.04299274146119891,35.19642857142857,0.27752409944190765,14.18958106834819,35.19642857142857,547,1971,1.8026382546930493,18,4.889903602232369
https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,49,16,0.507692299881657,0.045359385872045084,39.2,0.2378826530612245,15.775153061224493,39.2,373,1568,1.7040816326530612,18,4.778061224489796
https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,49,19,0.4411764641003461,0.03997648439742711,29.870967741935484,0.23488120950323974,12.04233958057549,29.870967741935484,435,1852,1.7257019438444925,18,4.6922246220302375
https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,32,14,0.3913043393194709,0.0283775447079719,34.470588235294116,0.1825938566552901,13.861272836779762,34.470588235294116,321,1758,1.5568828213879409,23,4.231513083048919
https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,11,7,0.2222222098765439,0.019088016946884393,36.214285714285715,0.2357001972386588,14.57999436460975,36.214285714285715,239,1014,1.7001972386587771,21,4.866863905325443
https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,49,12,0.6065573671056169,0.033498077960736915,33.516666666666666,0.24813525609149678,13.505920769103264,33.516666666666666,499,2011,1.675285927399304,26,4.726504226752859
https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,24,34,-0.17241379013079672,0.0827389442471627,42.111111111111114,0.22163588390501318,16.93309879800645,42.111111111111114,168,758,1.7308707124010554,10,4.832453825857519
https://insights.blackcoffer.com/what-is-the-limitation-of-e-learning-classes/,32,66,-0.34693877197001255,0.05812574136528722,25.424657534246574,0.23329741379310345,10.263181979215872,25.424657534246574,433,1856,1.7543103448275863,11,4.846443965517241
https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers/,32,27,0.08474576127549557,0.056459330089512594,24.434782608695652,0.16814946619217083,9.84117282995513,24.434782608695652,189,1124,1.5862989323843417,6,4.389679715302491
https://insights.blackcoffer.com/problems-faced-by-students-in-online-classes-during-covid-19/,58,29,0.33333332950191574,0.051448846805766495,49.69444444444444,0.23476802683063164,19.97168498851003,49.69444444444444,420,1789,1.7490217998882056,25,4.775852431525992
https://insights.blackcoffer.com/impact-of-covid-19-on-engineering-and-medical-college-during-this-pandemic-lockdown/,12,31,-0.44186045484045455,0.051620648197334154,18.274509803921568,0.1888412017167382,7.385340402255323,18.274509803921568,176,932,1.5568669527896997,15,4.463519313304721
